id	x	y	z
0	45.616703033447266	1040.5994873046875	2.9654762744903564
1	503.254150390625	1792.26904296875	6.342545032501221
2	805.2823486328125	786.996337890625	8.17932415008545
3	669.197021484375	560.50634765625	9.51578426361084
4	36.63469314575195	963.268798828125	13.260425567626953
5	395.601318359375	1780.7359619140625	13.320469856262207
6	136.24710083007812	332.5160827636719	13.95518970489502
7	714.3289794921875	1627.387451171875	16.094818115234375
8	596.9976196289062	1120.9725341796875	19.988388061523438
9	587.6288452148438	1208.6114501953125	27.289047241210938
10	466.94140625	1335.341796875	27.755752563476562
11	392.5662536621094	1856.14794921875	31.289104461669922
12	636.1554565429688	1197.90380859375	32.36613082885742
13	501.320068359375	1397.9669189453125	32.28982162475586
14	281.42413330078125	1224.9873046875	34.7495002746582
15	573.0428466796875	1404.4468994140625	36.74367141723633
16	323.99017333984375	1008.3971557617188	39.6702880859375
17	247.56460571289062	978.4855346679688	40.941200256347656
18	438.5006103515625	681.637451171875	45.414283752441406
19	419.82861328125	1505.0462646484375	44.5750846862793
20	442.0091247558594	1297.936767578125	45.91549301147461
21	40.94524383544922	1544.4237060546875	47.28660583496094
22	67.08744812011719	1296.8704833984375	49.461421966552734
23	487.3944396972656	1835.367919921875	53.388465881347656
24	250.16758728027344	1290.2935791015625	55.38392639160156
