id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
2	392	2	all	2
1	392	2	all	1
32	392	1	all	3
8	392	1	all	42
43	392	1	all	23
40	392	1	all	19
23	392	0	all	4
38	392	2	all	34
18	392	2	all	17
35	392	1	all	38
3	392	2	all	3
30	392	2	all	26
33	392	2	all	27
15	392	2	all	14
29	392	2	all	25
25	392	2	all	22
44	392	2	all	40
39	392	2	all	35
31	392	2	all	28
12	392	2	all	11
1	389	2	all	1
32	389	2	all	30
8	389	1	all	46
43	389	2	all	39
40	389	1	all	23
38	389	2	all	34
18	389	2	all	17
3	389	2	all	3
30	389	2	all	24
15	389	2	all	14
29	389	1	all	39
39	389	2	all	35
31	389	2	all	29
1	391	2	all	1
8	391	1	all	42
6	391	1	all	1
43	391	1	all	25
40	391	1	all	20
23	391	0	all	4
38	391	2	all	32
35	391	1	all	38
3	391	2	all	2
30	391	2	all	27
33	391	2	all	28
15	391	2	all	13
29	391	2	all	26
44	391	1	all	10
31	391	2	all	29
12	391	2	all	6
1	390	2	all	1
32	390	1	all	7
8	390	0	all	35
6	390	2	all	9
43	390	1	all	29
40	390	1	all	22
38	390	2	all	37
35	390	0	all	9
3	390	2	all	4
30	390	2	all	28
33	390	1	all	4
15	390	2	all	17
29	390	2	all	29
44	390	1	all	12
39	390	2	all	39
31	390	2	all	31
12	390	2	all	10
29	398	1	all	37
39	398	2	all	38
23	398	0	all	4
44	398	1	all	10
32	398	1	all	1
1	398	0	all	52
30	398	1	all	14
27	398	2	all	30
18	398	2	all	17
38	398	1	all	9
7	398	2	all	7
43	398	2	all	42
12	398	2	all	12
33	398	2	all	32
40	398	2	all	39
6	398	2	all	6
37	398	2	all	35
2	398	2	all	2
29	396	2	all	30
38	396	2	all	39
30	396	1	all	9
6	396	2	all	9
43	396	0	all	3
27	396	2	all	32
35	396	2	all	40
39	396	2	all	41
37	396	2	all	38
33	396	2	all	35
32	396	1	all	2
2	396	2	all	2
26	396	2	all	28
23	396	2	all	25
44	396	1	all	14
18	396	2	all	20
40	396	2	all	42
7	396	2	all	10
15	396	2	all	17
2	393	2	all	2
1	393	2	all	1
32	393	2	all	33
8	393	1	all	47
43	393	0	all	2
40	393	1	all	21
23	393	0	all	5
38	393	1	all	10
18	393	2	all	19
35	393	0	all	12
3	393	2	all	3
37	393	2	all	37
30	393	2	all	30
33	393	2	all	32
15	393	2	all	15
29	393	2	all	29
25	393	2	all	26
44	393	1	all	15
7	393	2	all	8
31	393	2	all	31
18	399	2	all	15
1	399	0	all	52
40	399	1	all	23
29	399	1	all	41
33	399	1	all	2
23	399	0	all	5
27	399	1	all	42
6	399	2	all	5
7	399	1	all	14
32	399	1	all	3
43	399	1	all	24
44	399	1	all	12
8	399	2	all	7
30	399	2	all	27
37	399	2	all	33
35	399	0	all	9
12	399	2	all	9
33	397	1	all	1
8	397	0	all	39
35	397	0	all	12
37	397	2	all	37
7	397	1	all	14
43	397	0	all	3
27	397	2	all	31
30	397	1	all	11
44	397	2	all	45
40	397	2	all	41
6	397	2	all	8
32	397	1	all	2
23	397	2	all	25
15	397	2	all	16
3	397	2	all	6
29	397	1	all	36
18	397	2	all	20
23	395	0	all	5
15	395	2	all	14
30	395	1	all	11
27	395	2	all	24
29	395	1	all	39
37	395	2	all	34
38	395	1	all	12
31	395	2	all	28
40	395	1	all	24
18	395	2	all	17
35	395	2	all	32
43	395	2	all	41
44	395	1	all	13
33	395	1	all	4
25	395	2	all	22
39	395	2	all	36
32	395	1	all	3
