id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
7	152	0	all	7
17	152	0	all	0
15	152	1	all	14
0	152	2	all	0
14	152	2	all	14
7	150	2	all	8
0	150	2	all	0
13	150	0	all	1
14	150	2	all	14
7	154	2	all	8
6	154	2	all	7
9	154	2	all	10
17	154	0	all	1
15	154	2	all	17
0	154	2	all	0
12	154	2	all	13
14	154	2	all	15
7	153	2	all	8
6	153	2	all	7
17	153	1	all	10
15	153	2	all	16
12	153	2	all	13
7	151	1	all	9
17	151	2	all	18
15	157	1	all	15
13	157	2	all	13
8	157	1	all	13
0	157	2	all	0
6	157	2	all	6
7	157	2	all	7
8	159	2	all	7
14	159	1	all	0
9	159	2	all	9
17	159	2	all	17
0	159	2	all	0
12	156	2	all	12
17	156	2	all	17
9	156	1	all	4
8	156	2	all	8
6	156	2	all	6
0	156	2	all	0
15	156	2	all	16
17	158	0	all	1
8	158	1	all	13
7	158	0	all	7
14	158	2	all	13
15	158	2	all	14
0	158	2	all	0
8	160	2	all	7
14	160	2	all	13
