id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
19	117	0	all	18
14	117	0	all	13
20	117	0	all	19
18	117	0	all	17
16	117	2	all	0
17	117	0	all	16
19	115	0	all	18
14	115	0	all	13
20	115	0	all	19
18	115	0	all	17
16	115	2	all	0
17	115	0	all	16
16	122	0	all	17
17	122	0	all	15
10	122	0	all	11
19	122	0	all	19
18	122	0	all	18
20	122	0	all	20
14	122	0	all	13
20	120	0	all	20
10	120	0	all	10
16	120	2	all	0
17	120	0	all	15
19	120	0	all	19
18	120	0	all	18
19	123	0	all	19
16	123	2	all	0
20	123	0	all	20
18	123	0	all	18
17	123	0	all	15
19	121	0	all	19
20	121	0	all	20
17	121	0	all	15
18	121	0	all	18
16	121	0	all	17
10	121	0	all	10
18	119	0	all	18
16	119	0	all	16
17	119	0	all	17
20	119	0	all	20
19	119	0	all	19
10	119	0	all	10
7	119	0	all	7
19	116	0	all	18
14	116	0	all	13
20	116	0	all	19
18	116	0	all	17
9	116	0	all	9
16	116	2	all	0
17	116	0	all	16
19	114	0	all	18
20	114	0	all	19
18	114	0	all	17
16	114	2	all	0
17	114	0	all	16
19	113	0	all	18
20	113	0	all	19
18	113	0	all	17
16	113	2	all	0
17	113	0	all	16
