id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
14	160	0	all	13
19	160	0	all	19
7	160	1	all	8
20	160	0	all	20
11	160	1	all	1
22	160	0	all	21
18	160	0	all	18
14	163	0	all	14
21	163	0	all	21
19	163	0	all	19
7	163	1	all	7
20	163	0	all	20
11	163	0	all	11
22	163	0	all	22
6	163	0	all	6
18	163	0	all	18
18	168	0	all	18
9	168	1	all	15
2	168	1	all	9
22	168	0	all	21
20	168	0	all	20
14	168	0	all	14
7	168	0	all	7
3	168	2	all	12
14	166	0	all	13
3	166	2	all	12
20	166	0	all	19
2	166	1	all	10
19	166	0	all	18
6	166	0	all	6
18	166	0	all	17
21	166	0	all	20
22	166	0	all	21
9	166	0	all	9
13	166	0	all	12
7	170	2	all	9
20	170	0	all	20
18	170	0	all	18
14	170	0	all	14
3	170	0	all	3
14	161	0	all	13
19	161	2	all	4
7	161	0	all	7
20	161	0	all	20
11	161	1	all	1
22	161	0	all	21
6	161	0	all	6
18	161	0	all	17
7	169	2	all	8
14	169	0	all	13
3	169	2	all	11
11	169	1	all	1
20	169	0	all	19
19	169	1	all	17
18	169	0	all	17
2	169	0	all	1
21	169	0	all	20
22	169	0	all	21
19	167	0	all	19
18	167	0	all	18
9	167	1	all	15
13	167	0	all	13
20	167	0	all	20
6	167	0	all	6
21	167	0	all	21
14	167	0	all	14
22	167	0	all	22
14	162	0	all	14
19	162	0	all	20
7	162	0	all	7
20	162	0	all	21
11	162	0	all	11
22	162	0	all	22
13	162	0	all	13
18	162	0	all	18
14	164	0	all	14
19	164	0	all	19
2	164	0	all	2
7	164	0	all	7
20	164	0	all	20
11	164	1	all	1
3	164	0	all	3
6	164	0	all	6
18	164	0	all	18
