id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
30	922	2	all	29
71	922	0	all	4
72	922	2	all	70
61	922	1	all	0
40	922	2	all	38
34	922	2	all	28
31	922	2	all	30
16	922	2	all	14
10	922	2	all	9
63	922	1	all	30
60	922	0	all	16
13	922	1	all	53
6	922	2	all	5
43	922	2	all	42
68	922	2	all	66
24	922	2	all	22
46	922	2	all	45
26	922	2	all	25
33	922	2	all	34
54	922	2	all	53
38	922	2	all	36
64	922	2	all	64
75	922	2	all	72
50	922	2	all	49
74	922	2	all	71
28	922	2	all	26
52	922	2	all	47
23	922	2	all	21
32	922	1	all	56
14	922	2	all	12
57	922	2	all	55
11	922	2	all	11
36	922	2	all	35
19	922	2	all	19
5	922	2	all	4
17	922	0	all	73
40	929	2	all	36
35	929	0	all	32
53	929	2	all	54
46	929	2	all	44
23	929	2	all	19
34	929	2	all	30
56	929	2	all	57
45	929	2	all	41
19	929	2	all	17
57	929	2	all	59
4	929	2	all	3
11	929	2	all	10
41	929	2	all	39
42	929	2	all	38
39	929	2	all	35
20	929	0	all	26
14	929	0	all	39
49	929	2	all	51
28	929	2	all	26
6	929	2	all	5
3	929	2	all	2
75	929	2	all	73
61	929	2	all	63
25	929	2	all	23
38	929	2	all	34
37	929	2	all	37
32	929	2	all	32
69	929	2	all	69
16	929	2	all	12
2	929	2	all	1
24	929	2	all	22
27	929	2	all	25
29	929	2	all	28
9	929	2	all	8
64	929	2	all	65
55	929	2	all	55
54	929	2	all	56
57	927	2	all	57
34	927	2	all	29
11	927	2	all	10
20	927	2	all	20
26	927	2	all	24
52	927	2	all	50
41	927	2	all	40
39	927	2	all	36
61	927	1	all	0
68	927	2	all	68
35	927	2	all	33
6	927	2	all	5
37	927	2	all	38
2	927	2	all	1
29	927	2	all	27
46	927	2	all	45
14	927	0	all	33
48	927	2	all	47
50	927	2	all	48
55	927	2	all	53
56	927	2	all	56
19	927	2	all	17
72	927	2	all	73
3	927	2	all	2
38	927	2	all	35
9	927	2	all	8
16	927	2	all	13
23	927	2	all	19
45	927	2	all	42
24	927	2	all	22
75	927	2	all	75
30	927	2	all	26
53	927	2	all	52
5	927	2	all	4
73	927	2	all	72
36	927	2	all	34
4	927	2	all	3
33	927	2	all	32
54	927	2	all	55
42	927	2	all	39
60	930	0	all	18
53	930	2	all	53
33	930	0	all	59
14	930	0	all	36
73	930	2	all	71
24	930	2	all	23
64	930	2	all	64
25	930	2	all	21
31	930	0	all	66
23	930	2	all	22
55	930	2	all	54
32	930	0	all	56
13	930	0	all	67
56	930	2	all	56
72	930	2	all	72
45	930	0	all	16
9	930	2	all	8
34	930	2	all	29
16	930	2	all	12
54	930	2	all	55
5	930	2	all	5
2	930	2	all	2
75	930	2	all	74
36	930	2	all	33
40	930	1	all	70
61	930	1	all	0
11	930	2	all	10
39	930	2	all	36
57	930	2	all	58
3	930	2	all	1
52	930	2	all	49
4	930	2	all	4
49	930	2	all	50
6	930	2	all	6
29	930	2	all	27
48	930	2	all	46
46	930	2	all	43
38	930	2	all	34
19	930	2	all	17
32	928	2	all	29
57	928	2	all	55
36	928	2	all	32
56	928	2	all	56
35	928	2	all	30
24	928	2	all	21
53	928	2	all	52
61	928	2	all	61
62	928	2	all	63
39	928	2	all	34
30	928	2	all	25
23	928	2	all	18
6	928	2	all	5
73	928	2	all	70
38	928	2	all	33
52	928	2	all	49
25	928	2	all	22
29	928	2	all	26
37	928	2	all	36
11	928	2	all	9
54	928	2	all	54
14	928	2	all	13
4	928	2	all	3
16	928	2	all	11
72	928	2	all	71
5	928	2	all	4
2	928	2	all	1
26	928	2	all	23
48	928	2	all	46
75	928	2	all	73
45	928	2	all	37
34	928	2	all	31
46	928	2	all	43
3	928	2	all	2
55	928	2	all	53
9	928	2	all	7
19	928	2	all	16
69	928	2	all	69
39	931	2	all	38
50	931	2	all	48
38	931	2	all	36
29	931	2	all	29
71	931	2	all	70
64	931	2	all	64
72	931	2	all	72
61	931	1	all	0
30	931	2	all	28
13	931	2	all	15
11	931	2	all	12
69	931	0	all	9
46	931	2	all	44
52	931	2	all	50
33	931	0	all	55
24	931	2	all	25
34	931	2	all	32
4	931	2	all	3
55	931	2	all	53
25	931	2	all	24
63	931	2	all	63
75	931	2	all	74
23	931	2	all	20
28	931	2	all	27
53	931	2	all	51
40	931	0	all	59
56	931	2	all	57
26	931	2	all	26
