id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
49	772	1	all	90
13	772	0	all	8
3	772	1	all	35
71	772	0	all	73
52	772	2	all	29
54	772	0	all	59
77	772	0	all	76
39	772	0	all	38
8	772	1	all	43
78	772	0	all	75
29	772	0	all	28
12	772	0	all	12
24	772	0	all	24
37	772	0	all	39
51	772	0	all	53
74	772	2	all	8
46	772	0	all	45
68	772	0	all	69
70	772	0	all	72
50	772	0	all	52
27	772	0	all	29
38	772	1	all	16
7	772	0	all	7
2	772	0	all	2
84	772	0	all	86
55	772	2	all	39
53	772	1	all	94
48	772	0	all	49
20	772	1	all	45
22	772	0	all	22
79	772	0	all	79
63	772	0	all	64
82	772	0	all	82
47	772	0	all	48
83	772	0	all	84
33	772	0	all	33
14	772	0	all	13
21	772	0	all	20
25	772	0	all	26
65	772	2	all	7
19	772	0	all	18
42	772	0	all	37
34	772	0	all	32
6	772	0	all	6
43	772	1	all	56
44	772	0	all	42
30	772	0	all	31
56	772	2	all	9
1	772	0	all	1
80	772	0	all	81
23	772	0	all	25
59	772	2	all	26
28	772	0	all	30
64	772	0	all	62
75	772	0	all	77
66	772	0	all	66
49	774	0	all	50
13	774	1	all	48
10	774	0	all	14
71	774	0	all	70
52	774	1	all	41
39	774	1	all	86
8	774	1	all	44
78	774	0	all	75
29	774	0	all	28
12	774	0	all	16
37	774	1	all	60
74	774	0	all	72
46	774	0	all	43
67	774	0	all	66
68	774	0	all	67
50	774	0	all	51
58	774	0	all	57
27	774	0	all	27
2	774	0	all	2
84	774	0	all	83
55	774	1	all	56
53	774	1	all	95
36	774	0	all	35
26	774	0	all	26
48	774	0	all	48
20	774	0	all	20
22	774	0	all	23
79	774	2	all	1
63	774	0	all	63
82	774	0	all	80
47	774	0	all	47
83	774	0	all	82
33	774	0	all	33
14	774	0	all	11
21	774	0	all	21
25	774	0	all	25
42	774	0	all	37
72	774	1	all	85
34	774	0	all	31
61	774	0	all	60
35	774	0	all	34
6	774	0	all	6
44	774	0	all	42
30	774	0	all	30
86	774	0	all	85
81	774	2	all	32
18	774	0	all	19
80	774	0	all	79
23	774	0	all	24
59	774	2	all	26
28	774	1	all	79
64	774	0	all	59
41	774	0	all	40
75	774	0	all	73
66	774	0	all	65
7	778	0	all	5
64	778	0	all	66
34	778	0	all	36
54	778	0	all	56
55	778	2	all	37
8	778	2	all	77
16	778	0	all	15
22	778	0	all	25
25	778	0	all	26
15	778	0	all	14
29	778	0	all	30
82	778	0	all	83
78	778	1	all	95
36	778	0	all	38
18	778	0	all	19
48	778	0	all	49
49	778	1	all	90
59	778	0	all	60
52	778	0	all	53
67	778	0	all	69
10	778	0	all	16
53	778	1	all	89
73	778	2	all	21
44	778	0	all	44
75	778	0	all	76
33	778	0	all	35
28	778	0	all	31
5	778	0	all	7
14	778	0	all	10
17	778	0	all	20
51	778	0	all	52
6	778	0	all	8
1	778	0	all	2
85	778	0	all	85
12	778	0	all	17
72	778	0	all	74
30	778	0	all	32
20	778	1	all	52
77	778	0	all	79
47	778	0	all	48
27	778	0	all	28
0	778	0	all	1
31	778	0	all	33
63	778	0	all	65
66	778	0	all	67
62	778	0	all	64
35	778	0	all	37
3	778	0	all	3
37	778	1	all	60
54	780	0	all	55
36	780	0	all	38
8	780	0	all	8
72	780	0	all	72
19	780	0	all	19
12	780	0	all	12
25	780	0	all	24
26	780	0	all	25
55	780	1	all	60
44	780	0	all	46
14	780	0	all	7
63	780	0	all	63
53	780	0	all	54
52	780	0	all	53
49	780	1	all	83
42	780	0	all	41
75	780	0	all	75
48	780	0	all	49
43	780	0	all	42
22	780	0	all	23
79	780	0	all	79
7	780	0	all	6
1	780	0	all	1
34	780	0	all	35
51	780	0	all	52
30	780	0	all	30
71	780	0	all	71
29	780	0	all	27
31	780	0	all	31
17	780	0	all	18
68	780	2	all	36
82	780	0	all	84
64	780	0	all	64
76	780	0	all	77
80	780	1	all	71
65	780	0	all	67
47	780	0	all	48
27	780	0	all	26
61	780	0	all	65
33	780	0	all	36
28	780	0	all	28
81	780	0	all	81
55	777	0	all	57
14	777	0	all	9
77	777	0	all	80
21	777	1	all	71
26	777	2	all	43
72	777	0	all	74
67	777	0	all	70
24	777	0	all	25
33	777	0	all	34
80	777	1	all	75
65	777	0	all	68
43	777	0	all	42
51	777	0	all	53
63	777	0	all	63
58	777	0	all	60
52	777	1	all	42
15	777	0	all	16
7	777	0	all	8
35	777	0	all	37
49	777	1	all	85
19	777	0	all	20
13	777	0	all	15
54	777	0	all	56
53	777	1	all	88
34	777	0	all	35
18	777	0	all	19
30	777	0	all	32
8	777	2	all	79
25	777	0	all	26
47	777	1	all	12
36	777	0	all	38
66	777	2	all	32
61	777	0	all	66
27	777	0	all	28
48	777	0	all	50
12	777	0	all	18
37	777	1	all	57
44	777	0	all	47
76	777	0	all	77
1	777	0	all	0
64	777	0	all	65
3	777	0	all	4
16	777	0	all	17
71	777	0	all	73
0	777	0	all	2
81	777	0	all	81
28	777	0	all	29
22	777	0	all	22
31	777	0	all	36
10	777	0	all	13
75	777	0	all	75
40	777	0	all	43
82	777	0	all	83
56	777	0	all	58
29	777	0	all	31
59	777	0	all	61
6	777	0	all	7
39	777	0	all	40
2	777	0	all	3
14	779	0	all	8
1	779	0	all	1
46	779	0	all	45
59	779	0	all	59
55	779	1	all	56
28	779	0	all	27
37	779	1	all	59
43	779	0	all	40
75	779	0	all	74
53	779	1	all	87
58	779	0	all	58
51	779	0	all	52
52	779	1	all	44
48	779	0	all	50
35	779	0	all	35
42	779	0	all	38
78	779	1	all	94
71	779	0	all	70
8	779	2	all	72
66	779	2	all	30
63	779	0	all	63
33	779	0	all	34
7	779	0	all	6
29	779	1	all	6
30	779	0	all	31
44	779	0	all	46
49	779	1	all	90
82	779	0	all	84
67	779	0	all	67
54	779	0	all	55
27	779	0	all	26
10	779	0	all	12
73	779	0	all	72
85	779	0	all	85
25	779	0	all	24
39	779	0	all	36
65	779	0	all	66
68	779	2	all	37
64	779	0	all	64
36	779	2	all	76
61	779	0	all	62
16	779	0	all	15
76	779	0	all	75
17	779	0	all	18
19	781	1	all	63
76	781	0	all	77
55	781	2	all	33
8	781	1	all	39
28	781	1	all	72
49	781	1	all	81
34	781	0	all	33
22	781	0	all	21
42	781	0	all	42
27	781	0	all	24
26	781	0	all	26
31	781	0	all	34
44	781	0	all	47
58	781	0	all	59
78	781	0	all	78
63	781	0	all	62
82	781	0	all	85
51	781	0	all	53
30	781	0	all	31
65	781	0	all	67
81	781	0	all	83
64	781	0	all	63
52	781	1	all	38
14	781	0	all	7
54	781	0	all	56
15	781	0	all	14
61	781	0	all	65
72	781	0	all	72
37	781	1	all	53
29	781	0	all	28
33	781	0	all	37
43	781	0	all	43
68	781	2	all	36
48	781	0	all	50
1	781	0	all	1
71	781	0	all	71
66	781	0	all	66
25	781	0	all	25
36	781	0	all	40
67	781	0	all	70
17	781	0	all	18
75	781	0	all	76
49	771	2	all	66
13	771	2	all	77
10	771	0	all	11
71	771	0	all	71
52	771	1	all	43
54	771	0	all	54
39	771	1	all	86
8	771	1	all	44
78	771	0	all	73
29	771	0	all	28
51	771	0	all	51
74	771	1	all	50
68	771	0	all	65
70	771	0	all	70
50	771	0	all	50
58	771	0	all	57
2	771	0	all	1
84	771	0	all	79
55	771	2	all	38
36	771	0	all	35
26	771	0	all	25
48	771	0	all	47
22	771	0	all	22
79	771	0	all	77
63	771	0	all	62
83	771	0	all	83
14	771	0	all	10
21	771	0	all	21
25	771	0	all	23
65	771	2	all	5
19	771	0	all	20
31	771	0	all	32
34	771	0	all	31
61	771	0	all	60
6	771	0	all	5
43	771	0	all	42
44	771	0	all	43
30	771	0	all	30
18	771	0	all	19
73	771	2	all	21
80	771	0	all	80
17	771	0	all	18
23	771	0	all	24
16	771	0	all	16
28	771	1	all	80
64	771	0	all	59
75	771	0	all	75
66	771	0	all	64
49	773	2	all	67
13	773	2	all	80
10	773	0	all	12
71	773	0	all	74
52	773	2	all	31
39	773	0	all	38
8	773	0	all	16
78	773	0	all	77
29	773	0	all	29
12	773	0	all	14
37	773	1	all	62
51	773	0	all	53
46	773	0	all	46
67	773	0	all	69
50	773	0	all	52
58	773	0	all	59
38	773	0	all	37
7	773	0	all	8
2	773	0	all	3
84	773	0	all	86
55	773	1	all	59
53	773	1	all	95
36	773	0	all	35
26	773	0	all	27
48	773	2	all	21
20	773	0	all	21
22	773	0	all	24
79	773	0	all	79
63	773	0	all	65
82	773	0	all	83
