id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
44	945	2	all	44
73	945	2	all	71
72	945	1	all	23
63	945	1	all	64
19	945	0	all	21
34	945	2	all	35
49	945	2	all	50
69	945	2	all	67
53	945	2	all	54
18	945	2	all	17
17	945	2	all	16
65	945	1	all	56
39	945	2	all	42
23	945	2	all	23
42	945	2	all	40
37	945	2	all	38
40	945	1	all	15
24	945	1	all	21
52	945	2	all	52
16	945	2	all	15
27	945	2	all	32
20	945	2	all	20
26	945	2	all	24
62	945	2	all	60
32	945	2	all	29
47	945	1	all	66
71	945	2	all	69
12	945	2	all	13
21	945	2	all	21
56	945	2	all	53
38	945	2	all	41
5	945	0	all	46
29	945	2	all	30
31	945	2	all	34
13	945	2	all	11
64	945	2	all	65
35	945	2	all	36
10	945	2	all	10
51	945	2	all	48
36	945	2	all	37
25	945	2	all	26
44	947	2	all	43
73	947	2	all	69
72	947	2	all	68
63	947	1	all	64
19	947	0	all	24
34	947	2	all	32
69	947	2	all	65
53	947	2	all	50
18	947	2	all	17
17	947	2	all	14
65	947	2	all	61
46	947	2	all	41
39	947	2	all	37
23	947	2	all	22
42	947	2	all	39
40	947	2	all	38
24	947	2	all	23
52	947	2	all	49
3	947	2	all	3
16	947	2	all	16
27	947	2	all	28
20	947	2	all	19
50	947	2	all	48
26	947	2	all	25
62	947	2	all	58
32	947	2	all	30
7	947	2	all	7
48	947	2	all	45
47	947	0	all	50
22	947	2	all	21
71	947	2	all	66
12	947	2	all	13
4	947	2	all	4
21	947	2	all	20
2	947	2	all	2
56	947	2	all	52
68	947	2	all	64
5	947	2	all	5
29	947	2	all	26
31	947	2	all	29
13	947	2	all	11
35	947	2	all	33
10	947	2	all	10
51	947	2	all	46
36	947	2	all	34
25	947	2	all	24
44	944	2	all	45
72	944	2	all	68
63	944	2	all	60
19	944	2	all	18
34	944	2	all	33
53	944	2	all	53
17	944	2	all	16
65	944	1	all	55
39	944	2	all	41
23	944	2	all	21
42	944	2	all	39
37	944	2	all	36
40	944	1	all	16
52	944	2	all	50
3	944	2	all	4
27	944	2	all	28
20	944	2	all	19
50	944	2	all	49
26	944	2	all	22
32	944	2	all	25
7	944	2	all	8
47	944	0	all	47
71	944	2	all	67
12	944	2	all	12
21	944	2	all	20
67	944	2	all	63
2	944	2	all	3
56	944	2	all	52
38	944	2	all	40
5	944	2	all	6
29	944	2	all	29
31	944	2	all	32
13	944	2	all	13
64	944	2	all	62
35	944	2	all	34
10	944	2	all	10
51	944	2	all	47
36	944	2	all	35
25	944	2	all	27
44	946	2	all	41
73	946	0	all	13
72	946	2	all	69
63	946	2	all	61
19	946	0	all	24
34	946	2	all	32
49	946	2	all	47
69	946	2	all	65
53	946	2	all	51
18	946	2	all	16
17	946	2	all	15
65	946	2	all	63
39	946	2	all	40
23	946	2	all	21
42	946	2	all	37
40	946	2	all	39
24	946	1	all	22
52	946	2	all	50
3	946	2	all	3
27	946	2	all	26
20	946	2	all	18
50	946	2	all	49
26	946	2	all	22
62	946	2	all	59
32	946	2	all	27
7	946	2	all	7
48	946	2	all	44
47	946	1	all	68
22	946	2	all	20
71	946	2	all	67
12	946	2	all	11
28	946	2	all	28
4	946	2	all	4
0	946	1	all	1
21	946	2	all	19
56	946	2	all	54
5	946	2	all	5
29	946	2	all	29
31	946	2	all	31
13	946	2	all	12
64	946	2	all	62
35	946	2	all	33
51	946	2	all	45
36	946	2	all	34
25	946	2	all	25
65	952	2	all	65
20	952	1	all	56
10	952	2	all	11
56	952	1	all	19
53	952	2	all	57
40	952	2	all	43
21	952	2	all	21
63	952	1	all	75
27	952	2	all	27
67	952	1	all	44
39	952	2	all	42
52	952	2	all	53
7	952	2	all	5
30	952	2	all	33
72	952	0	all	3
35	952	2	all	38
26	952	2	all	23
50	952	2	all	52
44	952	2	all	46
22	952	2	all	22
34	952	2	all	35
38	952	2	all	41
69	952	2	all	69
51	952	2	all	49
12	952	2	all	13
45	952	2	all	45
13	952	2	all	15
31	952	2	all	31
42	952	2	all	40
36	952	2	all	36
31	950	2	all	30
5	950	2	all	6
20	950	2	all	20
36	950	2	all	37
64	950	2	all	60
44	950	2	all	45
39	950	2	all	40
63	950	2	all	62
26	950	2	all	24
22	950	2	all	22
51	950	2	all	49
30	950	2	all	28
56	950	2	all	53
12	950	2	all	13
53	950	2	all	54
62	950	2	all	59
4	950	2	all	5
19	950	2	all	19
69	950	2	all	65
1	950	2	all	2
70	950	2	all	66
13	950	2	all	11
34	950	2	all	36
65	950	2	all	63
52	950	2	all	50
43	950	2	all	44
67	950	2	all	64
71	950	2	all	68
10	950	2	all	8
42	950	2	all	43
32	950	2	all	31
3	950	2	all	4
33	950	2	all	34
47	950	1	all	71
16	950	2	all	17
45	950	2	all	42
27	950	2	all	27
0	950	2	all	1
39	953	2	all	40
27	953	2	all	26
52	953	2	all	50
45	953	2	all	42
0	953	2	all	0
13	953	2	all	13
26	953	2	all	22
67	953	1	all	39
19	953	2	all	17
38	953	2	all	39
35	953	2	all	36
56	953	2	all	53
40	953	2	all	41
18	953	2	all	15
36	953	2	all	33
53	953	2	all	54
22	953	2	all	20
21	953	2	all	19
