id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
11	555	1	all	12
91	555	0	all	63
51	555	2	all	43
8	555	1	all	14
14	555	1	all	20
89	555	0	all	64
58	555	1	all	60
69	555	2	all	26
21	555	2	all	69
45	555	0	all	11
6	555	1	all	9
10	555	1	all	10
95	555	1	all	90
71	555	1	all	70
15	555	0	all	33
13	555	2	all	52
81	555	1	all	79
68	555	1	all	68
75	555	1	all	73
72	555	2	all	13
17	555	1	all	21
83	555	1	all	76
23	555	1	all	25
30	555	1	all	34
5	555	1	all	4
84	555	1	all	81
33	555	1	all	43
4	555	1	all	6
27	555	1	all	30
79	555	2	all	27
41	555	2	all	74
94	555	1	all	89
24	555	1	all	27
2	564	1	all	3
58	564	0	all	8
0	564	1	all	0
50	564	0	all	77
92	564	1	all	89
70	564	0	all	74
81	564	1	all	73
47	564	1	all	43
57	564	1	all	62
75	564	1	all	72
98	564	1	all	96
25	564	1	all	25
14	564	1	all	17
5	564	1	all	8
1	564	1	all	1
30	564	1	all	29
21	564	1	all	24
63	564	1	all	63
43	564	1	all	44
89	564	1	all	85
33	564	1	all	35
45	564	0	all	12
10	564	0	all	45
46	564	1	all	47
32	564	1	all	33
28	564	1	all	27
69	564	1	all	68
55	564	1	all	61
87	564	1	all	81
7	564	1	all	9
17	564	0	all	30
23	564	1	all	26
62	564	1	all	64
4	564	1	all	6
94	564	1	all	90
20	564	1	all	23
26	564	1	all	31
84	564	1	all	80
19	564	1	all	22
95	564	0	all	50
40	564	1	all	36
6	564	1	all	5
83	564	2	all	70
97	564	1	all	87
31	564	1	all	32
32	562	1	all	34
91	562	0	all	63
33	562	1	all	40
21	562	1	all	24
20	562	1	all	27
40	562	1	all	44
81	562	2	all	72
30	562	1	all	29
50	562	0	all	82
37	562	0	all	31
4	562	1	all	4
11	562	1	all	11
68	562	0	all	48
93	562	1	all	98
6	562	1	all	6
47	562	1	all	50
69	562	1	all	70
56	562	1	all	61
42	562	2	all	61
23	562	1	all	26
43	562	1	all	46
72	562	2	all	16
86	562	1	all	86
83	562	2	all	64
62	562	1	all	62
51	562	1	all	59
84	562	1	all	85
53	562	1	all	55
75	562	1	all	75
0	562	1	all	0
19	562	0	all	16
28	562	0	all	3
10	562	1	all	10
26	562	1	all	31
95	562	1	all	99
92	562	1	all	93
5	562	1	all	5
80	562	1	all	83
97	562	1	all	97
7	562	1	all	8
71	562	1	all	73
17	562	0	all	29
8	562	1	all	9
87	562	1	all	87
9	562	1	all	13
94	562	1	all	94
25	562	1	all	25
88	562	1	all	88
57	562	1	all	63
89	562	0	all	67
63	562	1	all	66
27	562	1	all	32
2	562	1	all	2
31	562	1	all	33
12	562	1	all	12
15	562	1	all	22
98	562	1	all	100
14	562	1	all	17
91	561	1	all	93
75	561	0	all	34
