id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
51	424	1	all	54
27	424	0	all	20
24	424	1	all	23
39	424	0	all	8
47	424	1	all	49
29	424	2	all	19
23	424	2	all	37
2	424	2	all	34
41	424	0	all	43
8	424	1	all	7
12	424	1	all	10
52	424	0	all	48
31	424	2	all	35
11	424	0	all	5
1	424	1	all	3
35	424	1	all	34
16	424	1	all	16
3	424	0	all	1
14	424	0	all	40
46	424	1	all	48
48	424	1	all	51
43	424	1	all	47
13	424	1	all	12
38	424	1	all	38
39	422	1	all	44
32	422	1	all	36
29	422	2	all	19
23	422	1	all	26
41	422	1	all	40
8	422	1	all	15
12	422	1	all	14
52	422	0	all	49
11	422	2	all	24
1	422	1	all	3
3	422	2	all	27
22	422	2	all	2
13	422	1	all	17
27	421	1	all	31
32	421	1	all	36
29	421	2	all	19
23	421	2	all	40
8	421	1	all	11
12	421	1	all	17
52	421	0	all	49
11	421	2	all	23
1	421	1	all	4
35	421	1	all	38
3	421	2	all	26
48	421	1	all	54
22	421	0	all	28
13	421	0	all	16
4	421	1	all	8
16	429	1	all	17
39	429	2	all	34
51	429	1	all	48
43	429	0	all	26
23	429	1	all	21
29	429	2	all	19
11	429	2	all	25
38	429	1	all	35
41	429	0	all	47
52	429	1	all	49
46	429	1	all	43
22	429	1	all	18
8	429	1	all	9
27	429	1	all	24
45	429	1	all	40
48	429	0	all	32
26	429	1	all	27
12	429	0	all	51
1	429	1	all	0
4	429	1	all	4
51	425	2	all	21
27	425	1	all	26
37	425	0	all	36
24	425	2	all	42
39	425	1	all	41
47	425	0	all	37
29	425	1	all	28
23	425	1	all	24
2	425	1	all	2
41	425	1	all	38
8	425	1	all	9
52	425	1	all	52
31	425	1	all	31
11	425	1	all	14
1	425	1	all	4
35	425	1	all	36
16	425	1	all	18
3	425	1	all	5
46	425	1	all	46
48	425	1	all	48
43	425	0	all	26
20	425	1	all	19
13	425	1	all	15
38	425	1	all	40
0	425	1	all	0
52	427	0	all	46
23	427	2	all	35
27	427	1	all	25
1	427	1	all	1
3	427	1	all	5
46	427	1	all	45
51	427	0	all	24
8	427	1	all	9
0	427	1	all	0
35	427	1	all	30
47	427	1	all	42
2	427	1	all	2
31	427	1	all	31
45	427	2	all	27
41	427	0	all	41
20	427	1	all	18
11	427	1	all	13
42	427	1	all	41
22	427	1	all	20
16	427	1	all	16
43	427	0	all	22
39	427	0	all	11
29	427	1	all	27
38	427	1	all	37
27	431	1	all	22
3	431	1	all	3
39	431	1	all	33
47	431	1	all	42
12	431	0	all	46
29	431	2	all	18
48	431	1	all	44
51	431	1	all	47
11	431	2	all	24
31	431	2	all	31
43	431	1	all	40
52	431	1	all	48
23	431	2	all	35
38	431	1	all	32
46	431	1	all	41
2	431	1	all	1
24	431	2	all	39
8	431	1	all	8
14	428	1	all	11
52	428	0	all	50
11	428	1	all	10
47	428	0	all	38
23	428	2	all	36
39	428	0	all	8
46	428	2	all	27
3	428	1	all	3
29	428	2	all	18
45	428	1	all	37
38	428	1	all	32
2	428	1	all	1
31	428	2	all	32
41	428	0	all	43
18	428	0	all	16
12	428	0	all	47
48	428	1	all	42
37	428	1	all	30
1	428	1	all	0
51	428	1	all	45
5	428	0	all	22
24	428	2	all	40
43	428	0	all	24
42	428	1	all	39
31	430	1	all	29
8	430	1	all	9
23	430	2	all	36
51	430	0	all	26
52	430	1	all	50
2	430	1	all	1
11	430	2	all	25
43	430	1	all	41
5	430	0	all	22
48	430	2	all	15
27	430	1	all	24
39	430	2	all	34
45	430	1	all	40
14	430	0	all	33
38	430	1	all	34
29	430	1	all	28
47	430	1	all	44
1	430	1	all	0
46	430	1	all	43
16	430	1	all	16
12	430	0	all	47
24	423	2	all	37
39	423	1	all	42
47	423	0	all	33
32	423	0	all	46
29	423	2	all	16
23	423	2	all	34
41	423	1	all	38
8	423	1	all	13
12	423	1	all	12
52	423	0	all	43
11	423	0	all	4
1	423	1	all	2
16	423	1	all	20
3	423	2	all	23
48	423	1	all	55
20	423	1	all	22
22	423	1	all	24
13	423	1	all	16
