id	x	y	z
0	50.62593460083008	1017.5826416015625	2.712200403213501
1	508.1319274902344	1770.94384765625	6.475081920623779
2	810.5140380859375	765.442626953125	8.326936721801758
3	671.4977416992188	538.8472900390625	9.92005443572998
4	604.5219116210938	1025.7620849609375	11.184082984924316
5	566.1654663085938	1417.1363525390625	11.828920364379883
6	43.358909606933594	940.1574096679688	13.378226280212402
7	400.5936279296875	1758.0120849609375	13.404428482055664
8	141.51478576660156	311.11474609375	14.022119522094727
9	723.6500854492188	1605.767822265625	16.22958755493164
10	600.4456176757812	1096.2845458984375	19.974918365478516
11	600.0657348632812	1296.419677734375	23.02686309814453
12	585.5745239257812	1406.1722412109375	28.277999877929688
13	397.9515075683594	1834.79638671875	31.40620994567871
14	440.13385009765625	1372.488037109375	31.698657989501953
15	167.57850646972656	347.3414611816406	33.72452163696289
16	665.6860961914062	1152.2447509765625	35.13079833984375
17	285.2734375	1203.57421875	34.919105529785156
18	547.2567749023438	1108.925537109375	35.84116744995117
19	322.2643127441406	982.1864013671875	39.4627685546875
20	256.6051788330078	967.8475341796875	40.91032409667969
21	458.2806396484375	1209.4278564453125	42.14737319946289
22	610.164794921875	1333.56787109375	43.309600830078125
23	452.0890197753906	1534.6954345703125	44.0380973815918
24	586.0579833984375	1217.596923828125	45.72914505004883
25	347.32574462890625	1308.7464599609375	45.96977615356445
26	463.8380432128906	623.5164794921875	47.094974517822266
27	360.9941711425781	1508.8961181640625	46.80317687988281
28	46.10427474975586	1522.4410400390625	47.476707458496094
29	430.6809387207031	1338.2347412109375	48.046241760253906
30	412.72393798828125	1444.1470947265625	48.164794921875
31	71.43282318115234	1274.7467041015625	49.558746337890625
32	520.3160400390625	1306.3787841796875	50.61196517944336
33	491.56805419921875	1811.822021484375	53.54033660888672
34	254.54873657226562	1268.020751953125	55.61808395385742
