id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
89	565	0	all	83
82	565	0	all	77
56	565	0	all	53
76	565	0	all	68
62	565	0	all	60
32	565	0	all	27
9	565	0	all	7
49	565	0	all	44
37	565	0	all	32
41	565	0	all	35
14	565	0	all	12
58	565	0	all	52
53	565	0	all	46
7	565	2	all	80
75	565	0	all	71
8	565	0	all	6
77	565	0	all	70
34	565	0	all	29
11	565	0	all	9
64	565	2	all	45
15	565	0	all	13
69	565	0	all	63
29	565	0	all	22
50	565	0	all	45
33	565	0	all	28
73	565	1	all	91
72	565	0	all	65
38	565	0	all	33
65	565	0	all	62
86	565	0	all	82
59	565	0	all	54
17	565	0	all	14
80	565	0	all	74
43	565	0	all	36
67	565	0	all	58
3	565	0	all	2
79	565	0	all	73
57	565	0	all	50
1	565	0	all	0
84	565	0	all	79
81	565	0	all	72
63	565	0	all	56
30	565	0	all	23
13	565	0	all	11
5	565	2	all	89
45	565	0	all	41
35	565	0	all	30
66	565	0	all	57
19	565	0	all	15
89	563	0	all	87
82	563	0	all	78
56	563	0	all	57
76	563	0	all	73
62	563	0	all	65
32	563	1	all	40
9	563	2	all	85
23	563	0	all	22
37	563	0	all	37
41	563	0	all	41
58	563	0	all	59
7	563	0	all	6
75	563	0	all	72
77	563	0	all	75
15	563	1	all	49
69	563	0	all	67
73	563	2	all	36
72	563	0	all	69
38	563	0	all	38
65	563	0	all	63
86	563	0	all	85
59	563	0	all	58
80	563	0	all	77
43	563	1	all	92
3	563	2	all	46
79	563	0	all	76
61	563	0	all	61
71	563	1	all	52
81	563	0	all	79
63	563	2	all	1
0	563	2	all	87
70	563	1	all	104
5	563	2	all	89
45	563	0	all	45
19	563	0	all	17
9	570	1	all	63
12	570	1	all	43
32	570	0	all	28
11	570	0	all	11
7	570	0	all	8
89	570	0	all	83
42	570	0	all	42
43	570	1	all	87
77	570	0	all	71
16	570	0	all	16
58	570	0	all	52
3	570	2	all	48
21	570	0	all	18
33	570	0	all	31
8	570	0	all	7
34	570	2	all	44
22	570	0	all	20
84	570	0	all	78
81	570	0	all	74
75	570	0	all	66
72	570	0	all	63
87	570	0	all	80
19	570	0	all	15
39	570	0	all	32
57	570	0	all	51
62	570	0	all	61
69	570	0	all	59
25	570	0	all	23
65	570	0	all	58
80	570	0	all	72
38	570	0	all	34
76	570	0	all	68
82	570	0	all	73
59	570	0	all	53
86	570	0	all	81
82	568	0	all	76
73	568	0	all	68
32	568	0	all	29
16	568	0	all	14
1	568	0	all	0
5	568	0	all	3
77	568	0	all	72
41	568	1	all	88
64	568	0	all	57
38	568	0	all	33
8	568	0	all	5
65	568	0	all	58
23	568	0	all	19
3	568	2	all	43
81	568	0	all	73
28	568	2	all	73
86	568	0	all	80
11	568	0	all	9
66	568	0	all	59
80	568	0	all	74
62	568	0	all	56
67	568	0	all	64
14	568	0	all	11
12	568	0	all	10
39	568	0	all	34
58	568	0	all	51
75	568	0	all	69
72	568	0	all	67
59	568	0	all	54
87	568	0	all	79
46	568	0	all	42
78	568	1	all	27
13	568	2	all	39
21	568	0	all	16
61	568	0	all	61
42	568	0	all	40
30	568	0	all	27
37	568	0	all	31
76	568	0	all	70
83	568	2	all	1
34	571	2	all	48
42	571	0	all	39
84	571	0	all	77
29	571	2	all	27
49	571	1	all	90
59	571	0	all	55
62	571	0	all	61
22	571	0	all	19
76	571	0	all	69
16	571	2	all	52
1	571	0	all	0
75	571	0	all	67
12	571	0	all	12
57	571	0	all	52
43	571	1	all	87
33	571	0	all	30
13	571	1	all	2
72	571	0	all	64
74	571	0	all	66
80	571	0	all	75
38	571	0	all	34
41	571	1	all	88
58	571	0	all	54
69	571	1	all	54
32	571	1	all	35
21	571	0	all	17
81	571	0	all	71
63	571	0	all	62
39	571	2	all	25
8	571	0	all	7
64	571	1	all	91
82	571	0	all	72
7	571	0	all	6
28	571	2	all	76
62	569	0	all	61
84	569	0	all	78
21	569	0	all	18
1	569	0	all	0
75	569	0	all	67
34	569	0	all	30
14	569	1	all	58
23	569	0	all	20
78	569	1	all	31
81	569	0	all	73
72	569	0	all	65
76	569	0	all	68
39	569	0	all	32
80	569	0	all	75
8	569	0	all	6
25	569	0	all	22
82	569	0	all	72
3	569	2	all	51
30	569	0	all	26
65	569	0	all	59
46	569	0	all	42
29	569	0	all	23
43	569	0	all	34
68	569	0	all	64
33	569	0	all	29
59	569	0	all	53
16	569	2	all	52
11	569	0	all	10
87	569	0	all	80
57	569	0	all	51
77	569	0	all	71
63	569	0	all	57
89	569	0	all	83
42	569	0	all	39
83	569	2	all	1
42	567	0	all	41
7	567	0	all	6
65	567	0	all	63
51	567	0	all	49
12	567	0	all	11
67	567	0	all	66
1	567	0	all	1
14	567	0	all	12
28	567	0	all	27
37	567	0	all	35
74	567	0	all	69
29	567	0	all	26
58	567	0	all	55
43	567	0	all	42
32	567	0	all	32
89	567	0	all	88
82	567	0	all	80
83	567	2	all	1
5	567	0	all	4
30	567	0	all	30
72	567	0	all	70
61	567	0	all	60
56	567	0	all	56
16	567	0	all	17
75	567	0	all	72
34	567	0	all	34
41	567	0	all	40
27	567	0	all	25
23	567	0	all	20
59	567	0	all	57
76	567	0	all	73
39	567	0	all	37
15	567	0	all	13
69	567	0	all	65
70	567	0	all	68
80	567	0	all	79
81	567	0	all	77
77	567	0	all	75
38	567	0	all	36
22	567	0	all	23
79	567	0	all	78
8	567	0	all	7
33	567	0	all	33
82	564	0	all	76
56	564	0	all	53
76	564	0	all	67
62	564	0	all	60
32	564	0	all	28
9	564	0	all	8
23	564	2	all	61
41	564	0	all	36
14	564	2	all	81
58	564	0	all	51
7	564	0	all	5
75	564	0	all	70
8	564	0	all	6
77	564	0	all	69
34	564	0	all	31
48	564	0	all	44
11	564	0	all	7
15	564	0	all	12
69	564	0	all	58
29	564	0	all	22
33	564	0	all	29
73	564	1	all	85
72	564	0	all	64
38	564	0	all	34
65	564	0	all	56
86	564	0	all	74
17	564	0	all	14
80	564	0	all	73
43	564	0	all	37
67	564	0	all	59
3	564	0	all	2
79	564	0	all	72
57	564	0	all	50
46	564	0	all	42
71	564	1	all	48
81	564	0	all	71
22	564	1	all	66
63	564	2	all	1
0	564	2	all	84
30	564	0	all	24
70	564	1	all	96
39	564	0	all	35
5	564	2	all	87
45	564	0	all	41
66	564	0	all	57
89	562	0	all	84
82	562	0	all	77
56	562	0	all	51
74	562	0	all	66
76	562	0	all	71
62	562	0	all	61
32	562	0	all	31
78	562	0	all	69
41	562	0	all	37
14	562	0	all	14
58	562	0	all	55
7	562	0	all	7
77	562	0	all	72
34	562	0	all	32
11	562	0	all	11
15	562	1	all	47
69	562	0	all	64
50	562	1	all	10
28	562	2	all	72
33	562	0	all	35
73	562	0	all	67
72	562	0	all	65
38	562	0	all	39
65	562	0	all	58
86	562	0	all	81
43	562	0	all	40
3	562	2	all	41
79	562	0	all	74
1	562	0	all	2
81	562	0	all	75
0	562	1	all	16
70	562	1	all	100
35	562	2	all	64
19	562	0	all	18
83	562	2	all	3
89	561	0	all	80
82	561	0	all	74
56	561	0	all	52
76	561	0	all	68
62	561	0	all	60
32	561	0	all	35
78	561	0	all	65
23	561	0	all	21
41	561	0	all	38
14	561	0	all	13
58	561	1	all	52
7	561	0	all	5
75	561	0	all	66
77	561	0	all	71
64	561	2	all	40
69	561	0	all	57
12	561	0	all	11
73	561	2	all	30
38	561	0	all	39
65	561	1	all	29
86	561	0	all	77
43	561	1	all	87
3	561	2	all	41
79	561	0	all	70
81	561	0	all	69
36	561	0	all	33
70	561	1	all	99
35	561	1	all	85
19	561	0	all	18
