id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
19	297	0	all	4
43	297	1	all	39
41	297	0	all	39
44	297	1	all	43
15	297	1	all	15
35	297	1	all	36
37	297	1	all	35
38	297	0	all	26
26	297	0	all	27
2	297	1	all	2
14	297	1	all	14
30	297	1	all	31
10	297	1	all	10
29	297	1	all	29
3	297	1	all	3
19	298	2	all	46
13	298	2	all	3
43	298	1	all	40
41	298	2	all	21
44	298	1	all	44
39	298	1	all	38
15	298	1	all	16
35	298	2	all	31
37	298	1	all	36
14	298	1	all	15
30	298	1	all	31
29	298	1	all	29
19	300	0	all	4
4	300	1	all	4
13	300	1	all	13
43	300	1	all	43
41	300	0	all	40
44	300	1	all	44
15	300	0	all	22
37	300	1	all	36
38	300	2	all	29
26	300	0	all	28
14	300	1	all	15
30	300	1	all	27
0	300	1	all	0
10	300	1	all	11
19	299	1	all	19
43	299	1	all	39
41	299	0	all	40
44	299	1	all	43
15	299	1	all	15
37	299	0	all	44
14	299	1	all	14
30	299	1	all	30
29	299	1	all	29
11	303	1	all	10
39	303	1	all	40
16	303	1	all	14
35	303	0	all	21
37	303	1	all	37
18	303	2	all	26
41	303	1	all	42
43	303	1	all	43
44	303	0	all	44
2	303	1	all	2
14	303	1	all	18
30	303	1	all	29
4	303	1	all	4
26	303	0	all	25
0	303	1	all	0
29	303	1	all	32
19	305	0	all	4
30	305	1	all	28
44	305	2	all	14
29	305	1	all	31
10	305	1	all	11
31	305	2	all	39
16	305	1	all	14
4	305	1	all	4
37	305	0	all	43
38	305	1	all	38
43	305	1	all	43
18	305	1	all	18
39	305	2	all	26
0	305	1	all	1
14	305	1	all	12
19	296	1	all	20
13	296	2	all	3
41	296	0	all	38
44	296	2	all	16
39	296	2	all	27
15	296	0	all	21
37	296	0	all	42
26	296	1	all	26
2	296	1	all	2
30	296	1	all	32
10	296	1	all	10
3	296	1	all	3
41	306	2	all	19
44	306	2	all	13
11	306	0	all	33
18	306	2	all	26
43	306	0	all	20
31	306	1	all	31
38	306	1	all	41
37	306	0	all	44
19	306	2	all	43
16	306	1	all	15
10	306	1	all	12
29	306	1	all	28
16	302	1	all	16
3	302	1	all	3
37	302	0	all	44
13	302	1	all	13
19	302	2	all	45
11	302	1	all	12
38	302	0	all	27
1	302	1	all	1
44	302	1	all	44
41	302	0	all	40
0	302	1	all	0
39	302	2	all	26
29	302	1	all	31
4	302	1	all	4
18	302	1	all	18
43	302	1	all	42
30	302	1	all	28
38	304	2	all	29
14	304	1	all	13
10	304	1	all	12
29	304	1	all	31
39	304	2	all	26
44	304	2	all	14
31	304	2	all	38
41	304	2	all	20
30	304	1	all	28
26	304	0	all	27
37	304	1	all	36
43	304	1	all	43
4	304	1	all	4
