id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
57	918	2	all	56
29	918	2	all	28
10	918	2	all	11
24	918	1	all	5
50	918	2	all	46
51	918	2	all	48
21	918	2	all	21
46	918	2	all	44
0	918	1	all	1
33	918	0	all	63
5	918	2	all	6
61	918	2	all	62
18	918	2	all	19
38	918	2	all	34
1	918	2	all	1
49	918	2	all	47
43	918	2	all	40
71	918	2	all	71
12	918	2	all	13
23	918	2	all	23
48	918	2	all	50
53	918	2	all	51
56	918	2	all	55
17	918	2	all	18
28	918	2	all	27
59	918	0	all	23
8	918	2	all	9
11	918	2	all	12
30	918	2	all	29
13	918	2	all	14
41	918	2	all	36
54	918	2	all	52
60	918	1	all	0
42	918	2	all	39
58	918	0	all	39
22	918	2	all	22
66	918	2	all	67
31	918	2	all	30
26	918	2	all	25
52	918	2	all	49
9	918	2	all	10
3	918	2	all	3
32	918	2	all	32
55	918	2	all	53
39	918	2	all	35
11	925	2	all	10
49	925	0	all	29
23	925	2	all	20
57	925	1	all	39
54	925	2	all	51
39	925	2	all	36
5	925	2	all	6
24	925	2	all	21
0	925	2	all	0
37	925	2	all	33
4	925	2	all	5
21	925	2	all	18
1	925	2	all	1
50	925	2	all	47
48	925	2	all	48
58	925	2	all	53
19	925	2	all	17
12	925	0	all	40
60	925	1	all	0
70	925	1	all	41
20	925	2	all	19
28	925	2	all	25
6	925	2	all	7
68	925	2	all	67
22	925	2	all	22
32	925	2	all	31
72	925	2	all	70
65	925	0	all	25
42	925	1	all	8
29	925	2	all	26
55	925	2	all	52
3	925	2	all	3
59	925	1	all	60
26	923	2	all	21
28	923	2	all	23
24	923	1	all	5
70	923	0	all	8
10	923	2	all	8
23	923	2	all	18
17	923	1	all	59
39	923	2	all	35
50	923	2	all	45
48	923	2	all	44
49	923	0	all	32
29	923	2	all	24
53	923	2	all	48
56	923	2	all	52
51	923	2	all	46
11	923	2	all	9
66	923	2	all	63
55	923	2	all	50
54	923	2	all	49
0	923	2	all	0
68	923	2	all	64
57	923	1	all	35
33	923	0	all	63
6	923	2	all	7
32	923	2	all	27
22	923	2	all	20
3	923	2	all	2
37	923	2	all	32
5	923	2	all	5
43	923	2	all	39
20	923	2	all	16
46	923	2	all	40
71	923	2	all	68
58	923	2	all	51
36	923	2	all	31
52	923	2	all	47
21	923	2	all	17
16	923	2	all	15
12	923	2	all	11
30	921	2	all	31
24	921	0	all	19
52	921	2	all	50
38	921	2	all	37
56	921	2	all	57
35	921	2	all	34
65	921	2	all	67
57	921	2	all	58
50	921	2	all	52
27	921	2	all	26
53	921	2	all	54
61	921	2	all	63
22	921	2	all	22
60	921	1	all	0
58	921	2	all	59
37	921	2	all	36
28	921	2	all	27
20	921	2	all	20
13	921	2	all	14
3	921	2	all	2
6	921	2	all	7
10	921	2	all	12
72	921	2	all	74
41	921	2	all	40
36	921	2	all	35
48	921	2	all	51
0	921	0	all	36
46	921	2	all	46
29	921	2	all	28
39	921	2	all	38
11	921	2	all	11
55	921	2	all	56
5	921	2	all	5
40	921	0	all	38
71	921	2	all	73
21	921	2	all	21
7	921	2	all	6
26	921	2	all	25
9	921	2	all	10
4	921	2	all	4
32	921	2	all	30
31	921	2	all	29
66	921	2	all	69
8	921	2	all	9
15	921	2	all	18
19	921	2	all	19
51	921	2	all	53
68	921	2	all	71
26	924	2	all	24
28	924	2	all	26
15	924	2	all	17
30	924	0	all	38
11	924	2	all	11
41	924	2	all	39
23	924	2	all	21
24	924	2	all	22
33	924	0	all	63
50	924	2	all	48
52	924	2	all	47
72	924	2	all	70
38	924	1	all	2
29	924	2	all	27
51	924	2	all	51
56	924	2	all	55
48	924	2	all	49
66	924	2	all	66
55	924	2	all	53
61	924	1	all	12
54	924	2	all	52
68	924	2	all	67
12	924	0	all	43
3	924	2	all	2
39	924	2	all	37
6	924	2	all	6
65	924	0	all	26
22	924	2	all	23
5	924	2	all	5
4	924	0	all	50
70	924	1	all	36
20	924	2	all	19
32	924	2	all	32
42	924	2	all	40
57	924	1	all	41
58	924	2	all	54
53	924	2	all	50
21	924	2	all	20
19	924	2	all	18
13	924	2	all	14
46	924	2	all	44
58	922	2	all	55
66	922	2	all	66
0	922	2	all	0
40	922	2	all	37
20	922	2	all	18
29	922	2	all	26
50	922	2	all	49
24	922	2	all	20
11	922	2	all	11
52	922	2	all	51
3	922	2	all	3
4	922	2	all	4
56	922	2	all	56
35	922	2	all	32
9	922	2	all	9
49	922	2	all	48
65	922	2	all	65
28	922	2	all	25
43	922	2	all	41
54	922	2	all	53
38	922	2	all	35
17	922	0	all	73
6	922	2	all	7
42	922	2	all	40
5	922	2	all	5
26	922	2	all	22
32	922	2	all	28
41	922	2	all	38
21	922	2	all	19
13	922	2	all	14
71	922	2	all	71
46	922	2	all	45
36	922	2	all	33
68	922	2	all	68
53	922	2	all	52
22	922	2	all	21
37	922	2	all	34
55	922	2	all	54
39	922	2	all	36
24	916	0	all	19
44	916	2	all	41
21	916	2	all	21
46	916	2	all	43
0	916	1	all	1
68	916	2	all	68
5	916	2	all	6
61	916	2	all	64
38	916	2	all	35
49	916	2	all	47
43	916	2	all	40
71	916	0	all	2
12	916	2	all	14
48	916	2	all	50
53	916	2	all	51
17	916	2	all	19
28	916	2	all	27
59	916	0	all	23
8	916	2	all	10
13	916	2	all	15
19	916	1	all	59
42	916	1	all	7
58	916	2	all	54
7	916	2	all	8
66	916	2	all	67
31	916	2	all	30
26	916	2	all	25
52	916	2	all	49
9	916	2	all	11
37	916	2	all	34
32	916	2	all	32
55	916	2	all	53
39	916	2	all	36
57	919	2	all	59
29	919	2	all	28
10	919	2	all	11
24	919	1	all	5
50	919	2	all	51
40	919	0	all	38
44	919	2	all	43
21	919	2	all	21
15	919	2	all	17
46	919	2	all	46
0	919	1	all	1
33	919	2	all	32
5	919	2	all	6
38	919	1	all	2
49	919	2	all	50
43	919	2	all	42
71	919	0	all	2
12	919	2	all	13
23	919	2	all	23
48	919	2	all	49
53	919	2	all	54
56	919	2	all	58
17	919	2	all	15
35	919	2	all	34
28	919	2	all	27
8	919	2	all	9
11	919	2	all	12
30	919	2	all	29
13	919	2	all	14
41	919	2	all	37
54	919	2	all	55
60	919	1	all	0
42	919	2	all	41
58	919	2	all	57
22	919	2	all	22
66	919	2	all	67
31	919	2	all	30
26	919	2	all	26
52	919	2	all	53
9	919	2	all	10
4	919	2	all	5
72	919	2	all	73
65	919	2	all	66
3	919	2	all	3
32	919	2	all	31
55	919	2	all	56
39	919	2	all	39
57	915	2	all	57
29	915	2	all	28
24	915	2	all	23
50	915	2	all	45
40	915	0	all	41
44	915	2	all	41
6	915	2	all	8
21	915	2	all	21
0	915	1	all	1
33	915	2	all	33
5	915	2	all	6
61	915	2	all	60
38	915	2	all	35
49	915	2	all	48
43	915	2	all	40
71	915	0	all	3
12	915	2	all	14
48	915	2	all	47
53	915	2	all	50
17	915	2	all	19
28	915	2	all	27
8	915	2	all	10
30	915	2	all	29
41	915	2	all	38
19	915	1	all	64
60	915	1	all	0
42	915	1	all	6
58	915	2	all	53
22	915	2	all	25
66	915	2	all	66
31	915	2	all	32
26	915	2	all	26
52	915	2	all	46
9	915	2	all	11
65	915	2	all	65
32	915	2	all	31
55	915	2	all	52
39	915	2	all	36
29	917	2	all	26
24	917	1	all	5
50	917	2	all	44
40	917	0	all	39
21	917	2	all	20
46	917	2	all	42
0	917	2	all	0
5	917	2	all	6
61	917	2	all	63
38	917	2	all	34
1	917	2	all	1
49	917	2	all	46
71	917	0	all	2
12	917	2	all	13
48	917	2	all	49
53	917	2	all	50
17	917	2	all	18
28	917	2	all	25
59	917	2	all	56
8	917	2	all	9
11	917	2	all	12
30	917	2	all	27
13	917	2	all	14
41	917	2	all	37
54	917	2	all	51
19	917	1	all	60
58	917	2	all	52
7	917	2	all	7
22	917	2	all	23
66	917	2	all	65
31	917	2	all	29
26	917	2	all	24
52	917	2	all	45
9	917	2	all	10
65	917	2	all	62
37	917	2	all	33
32	917	2	all	31
55	917	2	all	54
39	917	2	all	35
